round_id,snapshot_index,experiment_count,avg_score,safety_alerts,human_interventions,reviewer_correctness,reviewer_testing,reviewer_code_quality,reviewer_security,reviewer_efficiency,reviewer_adoption
R-7d-001,0,220,100.0,0,3,,,,,,
R-7d-002,2,460,100.0,2,4,,,,,,
R-7d-003,4,700,100.0,5,6,,,,,,
R-7d-004,6,940,100.0,8,10,,,,,,
R-7d-005,8,1180,100.0,8,10,,,,,,
R-7d-006,10,1420,100.0,11,13,,,,,,
R-7d-007,12,1660,100.0,15,15,,,,,,
R-7d-008,14,1900,100.0,17,22,,,,,,
R-7d-009,16,2140,100.0,21,22,,,,,,
R-7d-010,18,2380,100.0,25,23,,,,,,
R-7d-011,20,2620,100.0,26,23,,,,,,
R-7d-012,22,2860,100.0,28,24,,,,,,
R-7d-013,24,3100,100.0,30,27,,,,,,
R-7d-014,26,3340,100.0,32,29,,,,,,
R-7d-015,28,3580,100.0,35,30,,,,,,
R-7d-016,30,3820,100.0,37,33,,,,,,
R-7d-017,32,4060,100.0,42,35,,,,,,
R-7d-018,34,4300,100.0,45,38,,,,,,
R-7d-019,36,4540,100.0,49,43,,,,,,
R-7d-020,38,4780,100.0,50,45,,,,,,
R-7d-021,40,5020,100.0,50,46,,,,,,
R-7d-022,42,5260,100.0,53,50,,,,,,
R-7d-023,44,5500,100.0,60,51,,,,,,
R-7d-024,46,5740,100.0,62,51,,,,,,
R-7d-025,48,5980,100.0,64,53,,,,,,
R-7d-026,50,6220,100.0,66,54,,,,,,
R-7d-027,52,6460,100.0,70,56,,,,,,
R-7d-028,54,6700,100.0,73,56,,,,,,
R-7d-029,56,6940,100.0,78,58,,,,,,
R-7d-030,58,7180,100.0,81,63,,,,,,
R-7d-031,60,7420,100.0,82,64,,,,,,
R-7d-032,62,7660,100.0,82,69,,,,,,
R-7d-033,64,7900,100.0,84,72,,,,,,
R-7d-034,66,8140,100.0,89,72,,,,,,
R-7d-035,68,8380,100.0,90,75,,,,,,
R-7d-036,70,8620,100.0,90,76,,,,,,
R-7d-037,72,8860,100.0,92,78,,,,,,
R-7d-038,74,9100,100.0,95,81,,,,,,
R-7d-039,76,9340,100.0,97,85,,,,,,
R-7d-040,78,9580,100.0,103,88,,,,,,
R-7d-041,80,9820,100.0,105,89,,,,,,
R-7d-042,82,10060,100.0,109,90,,,,,,
